GeneSymbol	T_cell	Endothelial_cell	B_cell	Fibroblast	Cancer_cell	Myeloid_cell	Mast_cell	pDC
CARD9	1	1	1	1	1	70.1498035495763	1	1
CARMN	1	1	1	114.221817903049	1	1	1	1
CASKIN2	1	200.001716513854	1	1	1	1	1	1
CASP1	331.312618596003	85.8051726000895	179.210766999485	1	1	268.521298178009	568.799378615568	1
CASP3	1	1	1	1	1	1	1	72.5359816019771
CASP8	319.950426033044	1	170.223438567936	1	1	69.2890231719766	1	147.579206303632
CATSPER1	1	1	1	1	1	1	297.266811825191	1
CAV1	1	2459.02830617291	1	740.493064553177	198.569113984768	1	1	1
CAV2	1	504.372277333906	1	182.167345679886	196.566827125846	1	1	1
CAVIN1	1	1478.85516264618	1	1042.6074582045	275.925620041193	1	400.097506923441	1
CAVIN2	1	1179.38792982316	1	1	1	1	399.023458884632	1
CAVIN3	1	767.050264454567	1	625.385970700322	202.106746170201	1	1	1
CBFA2T3	1	1	1	1	1	1	1	460.214556270331
CBFB	151.652628079099	1	1	58.0002769382776	64.0070637326597	72.9523608267223	1	1
CBLB	615.595154228568	130.564282352169	1	122.298104379817	65.5999838679097	1	1	123.556427058831
CBR1	1	1	1	169.810914447501	191.358666440423	185.577129785218	287.964472631311	1
